Feature,ANOVA_Rank,RF_Rank,RFE_Rank,Consensus_Score
concave points_worst,1.0,3.0,1,1.6666666666666667
perimeter_worst,2.0,2.0,1,1.6666666666666667
radius_worst,3.0,4.0,1,2.6666666666666665
area_worst,6.0,1.0,1,2.6666666666666665
concave points_mean,4.0,5.0,1,3.3333333333333335
area_mean,8.0,6.0,2,5.333333333333333
concavity_worst,10.0,8.0,1,6.333333333333333
perimeter_mean,5.0,7.0,13,8.333333333333334
area_se,15.0,9.0,1,8.333333333333334
concavity_mean,9.0,10.0,7,8.666666666666666
radius_mean,7.0,11.0,11,9.666666666666666
radius_se,13.0,15.0,1,9.666666666666666
compactness_mean,11.0,12.0,10,11.0
texture_worst,16.0,19.0,1,12.0
symmetry_worst,18.0,13.0,5,12.0
smoothness_worst,17.0,18.0,3,12.666666666666666
texture_mean,19.0,16.0,4,13.0
perimeter_se,14.0,17.0,9,13.333333333333334
compactness_worst,12.0,14.0,18,14.666666666666666
compactness_se,24.0,25.0,1,16.666666666666668
concave points_se,20.0,26.0,6,17.333333333333332
smoothness_mean,21.0,20.0,14,18.333333333333332
fractal_dimension_se,26.0,24.0,8,19.333333333333332
texture_se,29.0,23.0,12,21.333333333333332
fractal_dimension_worst,23.0,21.0,21,21.666666666666668
concavity_se,25.0,22.0,19,22.0
symmetry_mean,22.0,31.0,17,23.333333333333332
smoothness_se,27.0,29.0,16,24.0
symmetry_se,30.0,27.0,15,24.0
id,28.0,30.0,20,26.0
fractal_dimension_mean,31.0,28.0,22,27.0
